0.270 --> 1.300 m,	-343.9 +/- 1.2 uGal,	-333.9 +/- 1.1 uGal/m
0.270 --> 1.400 m,	-376.0 +/- 1.4 uGal,	-332.7 +/- 1.3 uGal/m

0.700 --> 0.720 m,	  -6.7 +/- 0.0 uGal,	-335.6 +/- 1.2 uGal/m
0.700 --> 0.900 m,	 -66.7 +/- 0.2 uGal,	-333.5 +/- 1.2 uGal/m
0.700 --> 1.000 m,	 -99.7 +/- 0.4 uGal,	-332.4 +/- 1.3 uGal/m
0.700 --> 1.200 m,	-165.1 +/- 0.9 uGal,	-330.2 +/- 1.8 uGal/m
0.700 --> 1.300 m,	-197.4 +/- 1.2 uGal,	-329.0 +/- 2.1 uGal/m
0.700 --> 1.400 m,	-229.5 +/- 1.7 uGal,	-327.9 +/- 2.4 uGal/m

0.720 --> 0.900 m,	 -60.0 +/- 0.2 uGal,	-333.3 +/- 1.2 uGal/m
0.720 --> 1.000 m,	 -93.0 +/- 0.4 uGal,	-332.2 +/- 1.3 uGal/m
0.720 --> 1.200 m,	-158.4 +/- 0.9 uGal,	-329.9 +/- 1.8 uGal/m
0.720 --> 1.300 m,	-190.7 +/- 1.2 uGal,	-328.8 +/- 2.1 uGal/m
0.720 --> 1.400 m,	-222.8 +/- 1.7 uGal,	-327.7 +/- 2.5 uGal/m

0.900 --> 1.000 m,	 -33.0 +/- 0.2 uGal,	-330.2 +/- 1.8 uGal/m
0.900 --> 1.200 m,	 -98.4 +/- 0.7 uGal,	-327.9 +/- 2.4 uGal/m
0.900 --> 1.300 m,	-130.7 +/- 1.1 uGal,	-326.8 +/- 2.7 uGal/m
0.900 --> 1.400 m,	-162.8 +/- 1.5 uGal,	-325.7 +/- 3.1 uGal/m

1.000 --> 1.200 m,	 -65.4 +/- 0.5 uGal,	-326.8 +/- 2.7 uGal/m
1.000 --> 1.300 m,	 -97.7 +/- 0.9 uGal,	-325.7 +/- 3.1 uGal/m
1.000 --> 1.400 m,	-129.8 +/- 1.4 uGal,	-324.5 +/- 3.4 uGal/m

1.200 --> 1.300 m,	 -32.3 +/- 0.4 uGal,	-323.4 +/- 3.7 uGal/m
1.200 --> 1.400 m,	 -64.5 +/- 0.8 uGal,	-322.3 +/- 4.1 uGal/m

1.300 --> 1.400 m,	 -32.1 +/- 0.4 uGal,	-321.2 +/- 4.4 uGal/m


